"","names"
"1","YAL054C"
"2","YBR026C"
"3","YBR067C"
"4","YBR068C"
"5","YBR230C"
"6","YCR004C"
"7","YCR010C"
"8","YDL046W"
"9","YDL078C"
"10","YDL085W"
"11","YDL125C"
"12","YDL168W"
"13","YDR070C"
"14","YDR119W-A"
"15","YDR134C"
"16","YDR256C"
"17","YER015W"
"18","YFL014W"
"19","YFR053C"
"20","YGL121C"
"21","YGR043C"
"22","YGR055W"
"23","YGR236C"
"24","YIL124W"
"25","YIL160C"
"26","YJL048C"
"27","YJR008W"
"28","YKL026C"
"29","YKL164C"
"30","YKL187C"
"31","YKR009C"
"32","YKR046C"
"33","YLL026W"
"34","YLR284C"
"35","YML008C"
"36","YML054C"
"37","YML128C"
"38","YMR107W"
"39","YMR110C"
"40","YMR191W"
"41","YMR303C"
"42","YNL160W"
"43","YNL173C"
"44","YNR002C"
"45","YOL123W"
"46","YOL147C"
"47","YOR285W"
"48","YOR303W"
"49","YOR327C"
"50","YOR374W"
"51","YPL147W"
"52","YPL240C"
"53","YPR001W"
"54","YPR006C"
