"chr","tracking_id","ratio"
"15","YOR150W",2.01380491917978
"15","YOR161W-B",2.04144668201098
"15","YOR047C",2.04920298664426
"15","YOR208W",2.064933240414
"15","YOR023C",2.09377006737542
"15","YOR300W",2.10108405939929
"15","YOL086W-A",2.14008721476706
"15","YOR092W",2.15774593542052
"15","YOR354C",2.17816472264269
"15","YOR318C",2.24841616744111
"15","YOR329W-A",2.25893034394744
"15","YOR334W",2.26009538388574
"15","YOR225W",2.26788500904857
"15","YOR187W",2.29778792571409
"15","YOL130W",2.33250814194699
"15","YOR062C",2.36628959473242
"15","YOL015W",2.42581504169549
"15","YOR366W",2.47001944285687
"15","YOL118C",2.52820346110487
"15","YOL045W",2.56803240058749
"15","YOR226C",2.64813033564224
"15","YOL123W",2.7426539029997
"15","YOL132W",2.94232201526975
"15","YOR338W",2.99592815696983
"15","YOR379C",3.04722258284837
"15","YOR010C",3.05394168923494
"15","YOL085C",3.11052104172168
"15","YOR019W",3.15456895237159
"15","YOR192C-C",3.16028901526227
"15","YOR079C",3.29949754095261
"15","YOL136C",3.48198746204404
"15","YOR381W-A",3.79748266999804
"15","YOL152W",3.88494620455662
"15","YOL023W",4.03284217841043
"15","YOR032W-A",4.7188867640028
