"","chrms","X11","X18","X1","X2","X3","X49","X4","X59","X5","X61","X69","X76","X77","X7","X8","X9"
"1",1,-0.324873286694566,0.471007054407258,0.0290559869313896,0.140091836363678,0.0126707151797279,-0.00587549107796368,0.0228855160958911,-0.0169872157098965,0.123173141898003,-0.0695535484602149,0.00259130542720658,-0.0708099963108916,0.0307949019203841,0.592535012562425,0.149190981141919,0.0851721664307257
"2",2,0.0564747032311748,-0.0317754636071087,0.00988594941160156,-0.00567209915976892,-0.00514017319631449,0.0122865118131765,0.00907085223359537,-0.0277509052695831,-0.0484872783557378,-0.0323432767968227,0.0104077059524262,-0.0456234682453543,-0.0155068040650246,0.0128794323508216,-0.0324790456318286,0.0140474276053187
"3",3,-0.00395863930742957,-0.11672088032246,0.0358558666208345,0.104476885559174,-0.0154095706169727,-0.00756417883943805,0.00554890094773845,-0.0326926197492327,0.121942803840098,-0.0108809434426997,-0.00428656631238808,-0.0932185634360355,-0.0427847289155969,0.00474077863498886,0.0723750405224349,0.0392709060709366
"4",4,0.017579611919002,-0.0292029503567922,0.0301120236365281,-0.0333611998920175,-0.0234701197288641,0.0530136845026465,-0.0186336676764075,-0.0262876069896445,-0.036604117999301,-0.0615907960927376,0.00575147320479491,-0.0326918039592936,-0.0208234238886056,-0.0158439717062666,-0.00488489782553067,-0.020586245715685
"5",5,0.00711965617540222,-0.0247398416447202,0.026379889894528,-0.0262494278615566,-0.0404640686797394,0.529219124541047,0.535558578139968,-0.0431794651087428,-0.0108553914780732,-0.0720997958752019,0.0155206226627367,-0.0678252871111093,-0.0288951332605177,-0.00496413784003087,0.00475623817482572,-0.0336511657652416
"6",6,-0.0749964658773643,-0.0138539414320398,-0.0244594513237723,0.0336991931977978,-0.00910463879539295,-0.00389923844855651,0.0168565577479075,-0.0301339219394074,0.0446720493610251,-0.0191784034677317,-0.00483293854893882,-0.0186316899719825,-0.00498585381682811,-0.00151420713201707,-0.102152514936346,0.0317736751244438
"7",7,0.0384147680496537,-0.0111771279894345,0.0515006635052562,-0.0203240501193723,-0.00512017630657106,-0.0112755574094489,0.00837414418302982,0.38285272031036,-0.0118654363102881,0.537083890109247,0.0222667694326426,-0.0362236188023319,-0.0159253339423809,0.00333391051328354,-0.00180527227298278,0.0342243967564942
"8",8,0.0133266611936727,-0.0270746292281616,0.00765850108122633,0.0456208705771525,-0.00624001773997205,-0.0214829503227925,-0.0209710463565156,-0.0139556259004581,0.0529567659610796,-0.0384474285325063,0.00153954201990909,-0.0763897579554997,-0.000226973787500147,0.0117470110227609,0.0624838261265907,0.0279455219552194
"9",9,0.0349235078805817,-0.114666005971422,0.0172103378265489,-0.081052611677527,-0.0936998312829651,0.013148110753935,-0.0100680459127004,-0.0519879403876478,-0.058792006629153,-0.0818118544901287,-0.0217570242108625,0.528047601997024,-0.0384767712141631,-0.0526470441159724,-0.037144788370055,-0.0376181297469797
"10",10,0.0322784962824605,-0.0547480543064972,0.00691856568628106,-0.0404298696399463,-0.0549763073314291,-0.0156794032565394,0.00179418178554439,-0.0216682194728518,-0.0455450707429645,-0.0492233742537484,0.0198390206824146,0.233744767406178,-0.0401467559980152,0.00456174810611337,-0.0577809147037438,-0.0189017792106854
"11",11,0.0472563701930933,-0.0434184073555241,0.0537169501438992,-0.00967265919152155,-0.0206668502234342,-0.00124336238561851,0.0173633764138766,-0.0223197383835836,-0.00780211274157928,-0.030794436766437,0.011231884659708,-0.0383675937855943,-0.0236359927485942,0.0139348117822483,-0.00353352318492039,-0.0121371365102852
"12",12,0.202159525976104,0.54291412806902,0.0217049281965843,-0.0314679496728286,-0.0372228982311938,-0.0263942161870339,-0.01206110670152,-0.0215233125786624,-0.0402311727016538,-0.0227104355119004,0.0246649933035827,-0.059418553345258,0.55202869563467,0.00686964717289234,-0.0219267171781997,0.016417545703529
"13",13,0.0215425784608697,-0.0159748900915072,0.0433433003979383,-0.0156721837881916,-0.0234923357973889,-0.00332955571622878,0.0104356899157172,-0.0448969574227939,-0.0415121219545571,-0.0507011675895031,0.0290865328324902,-0.0432159446078952,0.00435330850823152,0.0121184493323553,0.0152960042929804,-0.0115124262204409
"14",14,-0.00397145174791744,-0.00852995331579067,0.0464105998631375,0.0565447403030524,0.0700689676236788,-0.0285051684358432,0.0121975001486855,-0.0205300288140267,0.0374455620821491,-0.012586991785127,0.00903268501930716,0.514258905530801,-0.00930659826586839,0.0201410876217534,0.0903856026900731,0.0127015666425365
"15",15,0.419314296520451,-0.0291494513199043,0.0250981261246077,-0.0404850467099072,-0.0438179206379111,-0.00591425600895184,-0.0101834244270221,-0.0310172198964016,-0.0483679471481208,-0.0573305283183474,0.00437583934797882,-0.0396470260848751,-0.0114599118532689,-0.0121245180061101,-0.00285179826314234,-0.0367263973032206
"16",16,0.000203610066805835,-0.0186563570450542,0.0359802174697442,-0.0518307213061288,-0.0518860137320882,-0.00255394787174482,0.011956319483498,-0.0101299431402021,-0.0614889667423757,-0.0224025690526304,0.012175133805275,-0.0515873030232334,-0.0345915894639872,0.0162879724044476,0.954556646743947,-0.0209451303242867
