"","chrms","X112","X115","X117","X123","X152","X29","X50"
"1",1,0,-0.0862598018073051,-0.135180775561178,-0.0973554613526621,0.380681394820547,0.0222938959031804,-0.125003679550819
"2",2,0.076955229423359,0.0196769591201484,0.000739586775941259,-0.0223730551796112,-0.01728412501914,0.0597095309816597,-0.0449397634979697
"3",3,-0.0367316503698994,0.0167748711147224,-0.0649586857938372,-0.0419715568564659,-0.0379697961043229,0.0393028279367254,-0.147333405464737
"4",4,0.0769335678390204,0.0692004354125282,0.0330570017923432,0.0451728781152464,-0.0357128466387899,0.111906685535198,0.0346416871129683
"5",5,0.0791666087984201,0.0193725019377525,0.532254862172884,0.398153819994078,-0.0387733314772617,0.0908653438232193,-0.00206744729339981
"6",6,-0.0178852072582346,-0.0281169170513234,-0.0947365724512887,-0.0211178893131587,-0.00204850890220447,0.041814254382876,0.0314321631788331
"7",7,0.0466520385495157,0.0590278068261482,0.0129669851490706,0.0197740498157357,-0.012463521954939,0.0918416890140543,0.0328333505920716
"8",8,0.00818029138731882,0.0283036578775958,-0.0455505820586282,-0.0108360109522504,0.547057937751897,0.0603329186365153,-0.00392048990042121
"9",9,0.0136819826968321,-0.00470918166737948,-0.0388033188991028,0.00916538560379455,-0.0886983776124158,-0.901629889700801,-0.059201933909364
"10",10,0.0521072934294965,0.0303846430385435,-0.0348556342020973,-0.0252606779355171,0.00246816130535072,0.0629775864974292,0
"11",11,0.0869506028598342,0.074382196322576,0.0296297534804661,0.0255566557586231,-0.0625955390732474,0.129180112490701,0.077077139599846
"12",12,0.059056619341389,0.0201794459342707,-0.0878894551751559,-0.035875869559226,-0.00724671274839148,0.071402200635745,-0.0590339091604432
"13",13,0.0486195110764968,0.048274787033661,0.0138369117597422,0.0073266804354916,0.00818680739009767,0.0883838923601026,-0.010126257663658
"14",14,0.0434456510907261,0.0435660798435755,0.0186013776889799,0.0253157776572299,0.0248327799707753,0.152544699258977,0.0160760538126497
"15",15,0.0538267953871996,0.037705182332982,0.0148225458371261,-0.0124496563017749,-0.00869539501301273,0.0820455622811323,-0.029832572953118
"16",16,0.657090286829962,0.0838286837684898,0.0550191962654962,0.0602390783024643,-0.00354550465987021,0.137535718489971,0.0464019971601449
